0,status,1,WEREWOLF,ALIVE,carlo
0,status,2,VILLAGER,ALIVE,m_cre
0,status,3,VILLAGER,ALIVE,cndl
0,status,4,VILLAGER,ALIVE,AITKN
0,status,5,MEDIUM,ALIVE,aplain
0,status,6,VILLAGER,ALIVE,takkyubu
0,status,7,BODYGUARD,ALIVE,kasuka
0,status,8,VILLAGER,ALIVE,johnny
0,status,9,VILLAGER,ALIVE,hibagon
0,status,10,POSSESSED,ALIVE,colun
0,status,11,WEREWOLF,ALIVE,wasabi
0,status,12,WEREWOLF,ALIVE,Udon
0,status,13,VILLAGER,ALIVE,JuN1Ro
0,status,14,SEER,ALIVE,cash
0,status,15,VILLAGER,ALIVE,daisyo
0,whisper,0,0,1,COMINGOUT Agent[01] VILLAGER
0,whisper,1,0,12,Over
0,whisper,2,0,11,Over
0,whisper,3,1,11,ATTACK Agent[15]
0,whisper,4,1,1,ATTACK Agent[15]
0,whisper,5,1,12,Over
0,whisper,6,2,11,ATTACK Agent[09]
0,whisper,7,2,12,Over
0,whisper,8,2,1,Over
0,whisper,9,3,1,ATTACK Agent[09]
0,whisper,10,3,11,Over
0,whisper,11,3,12,Over
0,whisper,12,4,11,ATTACK Agent[05]
0,whisper,13,4,12,Over
0,whisper,14,4,1,Over
0,whisper,15,5,11,ATTACK Agent[03]
0,whisper,16,5,1,ATTACK Agent[05]
0,whisper,17,5,12,Over
0,whisper,18,6,11,Over
0,whisper,19,6,1,ATTACK Agent[03]
0,whisper,20,6,12,Over
0,whisper,21,7,1,Over
0,whisper,22,7,12,Over
0,whisper,23,7,11,ATTACK Agent[13]
0,whisper,24,8,11,Over
0,whisper,25,8,12,Over
0,whisper,26,8,1,ATTACK Agent[13]
0,whisper,27,9,1,Over
0,whisper,28,9,11,ATTACK Agent[02]
0,whisper,29,9,12,Over
0,whisper,30,10,12,Over
0,whisper,31,10,1,ATTACK Agent[02]
0,whisper,32,10,11,ATTACK Agent[03]
0,whisper,33,11,11,Over
0,whisper,34,11,12,Over
0,whisper,35,11,1,ATTACK Agent[03]
0,whisper,36,12,1,Over
0,whisper,37,12,12,Over
0,whisper,38,12,11,ATTACK Agent[14]
0,whisper,39,13,12,Over
0,whisper,40,13,11,ATTACK Agent[09]
0,whisper,41,13,1,ATTACK Agent[14]
0,whisper,42,14,11,Over
0,whisper,43,14,1,ATTACK Agent[09]
0,whisper,44,14,12,Over
0,whisper,45,15,11,Over
0,whisper,46,15,12,Over
0,whisper,47,15,1,Over
0,divine,14,6,HUMAN
1,status,1,WEREWOLF,ALIVE,carlo
1,status,2,VILLAGER,ALIVE,m_cre
1,status,3,VILLAGER,ALIVE,cndl
1,status,4,VILLAGER,ALIVE,AITKN
1,status,5,MEDIUM,ALIVE,aplain
1,status,6,VILLAGER,ALIVE,takkyubu
1,status,7,BODYGUARD,ALIVE,kasuka
1,status,8,VILLAGER,ALIVE,johnny
1,status,9,VILLAGER,ALIVE,hibagon
1,status,10,POSSESSED,ALIVE,colun
